,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Commands,Copy,Main buttons,CopySub1,FunctionnalitySub1 ,Sub1buttons,CopySub2,FunctionnalitySub2,Sub2buttons,CopySub3,FunctionnalitySub3,Sub3Buttons,CopySub4,FunctionnalitySub4,Sub4Buttons
,/start,"👋 Welcome back, @kalzerinho!

Status: 🚀 READY TO TRADE ✅

💼 Your Wallet:
0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Balance: 3.54 USDC.e",Wallet,Goes to /wallet flow,Goes to /wallet flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,/start,"👋 Welcome back, @kalzerinho!

Status: 🚀 READY TO TRADE ✅

💼 Your Wallet:
0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Balance: 3.54 USDC.e",Markets,Goes to /markets flow,Goes to /markets flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,/start,"👋 Welcome back, @kalzerinho!

Status: 🚀 READY TO TRADE ✅

💼 Your Wallet:
0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Balance: 3.54 USDC.e",Positions,Goes to /position flow,Goes to /position flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,/start,"👋 Welcome back, @kalzerinho!

Status: 🚀 READY TO TRADE ✅

💼 Your Wallet:
0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Balance: 3.54 USDC.e",Leaderboard,Goes to /leaderboard flow,Goes to /leaderboard flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,/start,"👋 Welcome back, @kalzerinho!

Status: 🚀 READY TO TRADE ✅

💼 Your Wallet:
0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Balance: 3.54 USDC.e",Withdraw,Goes to /withdraw flow,Goes to /withdraw flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,/wallet,"💼 YOUR WALLETS

👤 Telegram ID: 6500527972

🔷 POLYGON WALLET
📍 Address: 0xE235db7fcbc64161028eFbc0E131852188d8f11D
💰 Balances:
  • USDC.e: 8.64
  • POL: 0.7109

🔶 SOLANA WALLET
📍 Address: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
💰 Balance:
  • SOL: 0.0000

🔑 Status:
Wallet ready for trading!

💡 Actions:
• View private keys (buttons below)
• Bridge SOL to Polygon (button below)
• Withdraw funds securely",Polygon Private Key,"SECRET POLYGON PRIVATE KEY 

DO NOT SHARE IT

private key decrypted

Message will self destruct in 15 seconds","at the destruction, back to /wallet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,/wallet,"💼 YOUR WALLETS

👤 Telegram ID: 6500527972

🔷 POLYGON WALLET
📍 Address: 0xE235db7fcbc64161028eFbc0E131852188d8f11D
💰 Balances:
  • USDC.e: 8.64
  • POL: 0.7109

🔶 SOLANA WALLET
📍 Address: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
💰 Balance:
  • SOL: 0.0000

🔑 Status:
Wallet ready for trading!

💡 Actions:
• View private keys (buttons below)
• Bridge SOL to Polygon (button below)
• Withdraw funds securely",Solana Private Key,"SECRET SOLANA PRIVATE KEY 

DO NOT SHARE IT

private key decrypted

Message will self destruct in 15 seconds","at the destruction, back to /wallet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,/wallet,"💼 YOUR WALLETS

👤 Telegram ID: 6500527972

🔷 POLYGON WALLET
📍 Address: 0xE235db7fcbc64161028eFbc0E131852188d8f11D
💰 Balances:
  • USDC.e: 8.64
  • POL: 0.7109

🔶 SOLANA WALLET
📍 Address: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
💰 Balance:
  • SOL: 0.0000

🔑 Status:
Wallet ready for trading!

💡 Actions:
• View private keys (buttons below)
• Bridge SOL to Polygon (button below)
• Withdraw funds securely",Bridge from Solana,"🌉 BRIDGE SOL TO POLYGON

📍 Your Wallets:
🔶 Solana: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
🔷 Polygon: 0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Current SOL Balance: 0.0000 SOL

💡 How it works:
1. Send SOL to your Solana address above
2. Use this command to bridge
3. Receive USDC.e + POL on Polygon automatically

⚡ Features:
• Auto-convert SOL → USDC → USDC.e
• Auto gas refuel (~3 POL)
• All-in-one solution
• Takes ~3-5 minutes
        

⚠️ Minimum required: 0.1 SOL

Please send SOL to your address above first.",Checks Solana balance + Allows Solana Bridge if balance >= 0.1 when user clicks button,"If Balance ok then ""Bridge Auto"", otherwise ""Refresh balance""","Bridge Started ! 

add bridging infodynamically 

show final balance and debridge fees",Bridge from Solana Adress to Polygon address (first swap from sol to usdc then use debridge to bridge usdc to POL then swap 95% of POL to usdc.e),Back to /wallet,NA,NA,NA,NA,NA,NA
,/wallet,"💼 YOUR WALLETS

👤 Telegram ID: 6500527972

🔷 POLYGON WALLET
📍 Address: 0xE235db7fcbc64161028eFbc0E131852188d8f11D
💰 Balances:
  • USDC.e: 8.64
  • POL: 0.7109

🔶 SOLANA WALLET
📍 Address: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
💰 Balance:
  • SOL: 0.0000

🔑 Status:
Wallet ready for trading!

💡 Actions:
• View private keys (buttons below)
• Bridge SOL to Polygon (button below)
• Withdraw funds securely",Bridge from Solana,"🌉 BRIDGE SOL TO POLYGON

📍 Your Wallets:
🔶 Solana: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
🔷 Polygon: 0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Current SOL Balance: 0.0000 SOL

💡 How it works:
1. Send SOL to your Solana address above
2. Use this command to bridge
3. Receive USDC.e + POL on Polygon automatically

⚡ Features:
• Auto-convert SOL → USDC → USDC.e
• Auto gas refuel (~3 POL)
• All-in-one solution
• Takes ~3-5 minutes
        

⚠️ Minimum required: 0.1 SOL

Please send SOL to your address above first.",Checks Solana balance + Allows Solana Bridge if balance >= 0.1 when user clicks button,Copy Solana Address,None,Triggers copy of Solana Address,NA,NA,NA,NA,NA,NA,NA
,/wallet,"💼 YOUR WALLETS

👤 Telegram ID: 6500527972

🔷 POLYGON WALLET
📍 Address: 0xE235db7fcbc64161028eFbc0E131852188d8f11D
💰 Balances:
  • USDC.e: 8.64
  • POL: 0.7109

🔶 SOLANA WALLET
📍 Address: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
💰 Balance:
  • SOL: 0.0000

🔑 Status:
Wallet ready for trading!

💡 Actions:
• View private keys (buttons below)
• Bridge SOL to Polygon (button below)
• Withdraw funds securely",Bridge from Solana,"🌉 BRIDGE SOL TO POLYGON

📍 Your Wallets:
🔶 Solana: CwQ6dqwT2TFuftYpf2isA7HMRSzZbVQLF95EmU8Noyz
🔷 Polygon: 0xE235db7fcbc64161028eFbc0E131852188d8f11D

💰 Current SOL Balance: 0.0000 SOL

💡 How it works:
1. Send SOL to your Solana address above
2. Use this command to bridge
3. Receive USDC.e + POL on Polygon automatically

⚡ Features:
• Auto-convert SOL → USDC → USDC.e
• Auto gas refuel (~3 POL)
• All-in-one solution
• Takes ~3-5 minutes
        

⚠️ Minimum required: 0.1 SOL

Please send SOL to your address above first.",Checks Solana balance + Allows Solana Bridge if balance >= 0.1 when user clicks button,Back to Wallet,Goes to /wallet,NA,NA,NA,NA,NA,NA,NA,NA
