Adresse,Smartscore,Win Rate,Markets,Realized PnL,Latest Activity Type,Latest Market,Latest Value,Latest Date,Positions Count,Active Orders Count,Recent Trades Count,Total Position Value,Largest Position Market,Largest Position Value,Most Recent Trade Market,Most Recent Trade Value,Most Recent Trade Date,Most Recent Order Market,Most Recent Order Value,Most Recent Order Date,Analysis Date,Bucket smart,Bucket last date
0xef104cc70851a4246e8e06790d7fad9708190b43,12.0907734,0.5701943844,463,87856.21175,trade,Market 0x3d707c32...,$3.72,2025-10-15 15:16:27,100,0,20,$0.00,No positions,$0.00,Market 0x3d707c32...,$3.72,2025-10-15 15:16:27,No orders,$0.00,N/A,2025-10-15T13:19:28.503549+00:00,Very Smart,daily trader
0xef104cc70851a4246e8e06790d7fad9708190b43,12.0907734,0.5701943844,463,87856.21175,trade,Market 0x3d707c32...,$94.06,2025-10-15 15:10:37,100,0,20,$0.00,No positions,$0.00,Market 0x3d707c32...,$94.06,2025-10-15 15:10:37,No orders,$0.00,N/A,2025-10-15T13:15:07.042891+00:00,Very Smart,daily trader
0x29cdb44e2ccbde61a00b8e6056101c90c77bcbc5,16.94321059,0.6338028169,71,7945.125964,trade,Market 0xb65d38b2...,$9.40,2025-10-15 14:54:51,21,0,20,$0.00,No positions,$0.00,Market 0xb65d38b2...,$9.40,2025-10-15 14:54:51,No orders,$0.00,N/A,2025-10-15T13:18:08.029362+00:00,Very Smart,daily trader
0xef104cc70851a4246e8e06790d7fad9708190b43,12.0907734,0.5701943844,463,87856.21175,trade,Market 0x2d9c37c4...,$18.20,2025-10-15 14:50:27,100,0,20,$0.00,No positions,$0.00,Market 0x2d9c37c4...,$18.20,2025-10-15 14:50:27,No orders,$0.00,N/A,2025-10-15T13:05:56.618038+00:00,Very Smart,daily trader
0xbc2472a96accbe143b6f95e31929331e86cf3502,30.36324356,0.6855421687,1660,13105.67702,trade,Market 0x2d9c37c4...,$0.09,2025-10-15 14:43:23,4,0,20,$0.00,No positions,$0.00,Market 0x2d9c37c4...,$0.09,2025-10-15 14:43:23,No orders,$0.00,N/A,2025-10-15T13:17:23.156434+00:00,Very Smart,daily trader
0xbc2472a96accbe143b6f95e31929331e86cf3502,30.36197959,0.6857659831,1658,13079.04522,trade,Market 0x2d9c37c4...,$0.09,2025-10-15 14:43:23,4,0,20,$0.00,No positions,$0.00,Market 0x2d9c37c4...,$0.09,2025-10-15 14:43:23,No orders,$0.00,N/A,2025-10-15T13:04:14.326189+00:00,Very Smart,daily trader
0x6f95258e32183f5de66b50ede0215ed1735a53b1,13.04584531,0.6428571429,14,16874.0251,trade,Market 0x253e2715...,$1104.52,2025-10-15 14:15:47,4,0,13,$0.00,No positions,$0.00,Market 0x253e2715...,$1104.52,2025-10-15 14:15:47,No orders,$0.00,N/A,2025-10-15T13:14:48.525229+00:00,Very Smart,daily trader
0x6f95258e32183f5de66b50ede0215ed1735a53b1,13.04584531,0.6428571429,14,16874.0251,trade,Market 0x253e2715...,$1104.52,2025-10-15 14:15:47,4,0,13,$0.00,No positions,$0.00,Market 0x253e2715...,$1104.52,2025-10-15 14:15:47,No orders,$0.00,N/A,2025-10-15T13:19:10.687531+00:00,Very Smart,daily trader
0xdeef189ad4275563eff6bf6f9565bcade75c0cbf,11.13689467,0.6,15,13977.1642,trade,Market 0x253e2715...,$1504.90,2025-10-15 14:14:45,4,0,14,$0.00,No positions,$0.00,Market 0x253e2715...,$1504.90,2025-10-15 14:14:45,No orders,$0.00,N/A,2025-10-15T13:15:35.153066+00:00,Very Smart,daily trader
0xdeef189ad4275563eff6bf6f9565bcade75c0cbf,11.13689467,0.6,15,13977.1642,trade,Market 0x253e2715...,$1504.90,2025-10-15 14:14:45,4,0,14,$0.00,No positions,$0.00,Market 0x253e2715...,$1504.90,2025-10-15 14:14:45,No orders,$0.00,N/A,2025-10-15T13:19:56.285456+00:00,Very Smart,daily trader
0x69378489c322133b285a669963d058dd5c5c085d,11.14047779,0.5555555556,126,200289.7581,trade,Market 0x782e0986...,$7971.60,2025-10-15 14:12:39,13,0,20,$0.00,No positions,$0.00,Market 0x782e0986...,$7971.60,2025-10-15 14:12:39,No orders,$0.00,N/A,2025-10-15T13:08:23.389398+00:00,Very Smart,daily trader
0x69378489c322133b285a669963d058dd5c5c085d,11.14047779,0.5555555556,126,200289.7581,trade,Market 0x782e0986...,$7971.60,2025-10-15 14:12:39,13,0,20,$0.00,No positions,$0.00,Market 0x782e0986...,$7971.60,2025-10-15 14:12:39,No orders,$0.00,N/A,2025-10-15T13:15:34.614452+00:00,Very Smart,daily trader
0x69378489c322133b285a669963d058dd5c5c085d,11.14047779,0.5555555556,126,200289.7581,trade,Market 0x782e0986...,$7971.60,2025-10-15 14:12:39,13,0,20,$0.00,No positions,$0.00,Market 0x782e0986...,$7971.60,2025-10-15 14:12:39,No orders,$0.00,N/A,2025-10-15T13:19:55.816353+00:00,Very Smart,daily trader
0x662244931c392df70bd064fa91f838eea0bfd7a9,17.63355796,0.5813953488,43,125213.8265,trade,Market 0xf4f51e9e...,$35.00,2025-10-15 14:06:21,19,0,20,$0.00,No positions,$0.00,Market 0xf4f51e9e...,$35.00,2025-10-15 14:06:21,No orders,$0.00,N/A,2025-10-15T13:18:02.839108+00:00,Very Smart,daily trader
0x7c2c96af5bdadc1818360ac33ba77718c5a3407e,99,0.5640589569,1764,11698.04691,trade,Market 0xa3c60bd3...,$5.61,2025-10-15 13:23:27,84,0,20,$0.00,No positions,$0.00,Market 0xa3c60bd3...,$5.61,2025-10-15 13:23:27,No orders,$0.00,N/A,2025-10-15T13:17:14.383573+00:00,Very Smart,daily trader
0x17db3fcd93ba12d38382a0cade24b200185c5f6d,14.77128774,0.9166666667,12,54100.70489,trade,Market 0xd8dfd4c7...,$3000.00,2025-10-15 13:11:05,3,0,20,$0.00,No positions,$0.00,Market 0xd8dfd4c7...,$3000.00,2025-10-15 13:11:05,No orders,$0.00,N/A,2025-10-15T13:18:39.655163+00:00,Very Smart,daily trader
0x0ec49699229f8c4bacdb7ae8bc9fd2c0f7c9f4a4,13.56567273,0.8691588785,107,52400.04932,trade,Market 0x5a06550e...,$106.00,2025-10-15 13:10:17,14,0,20,$0.00,No positions,$0.00,Market 0x5a06550e...,$106.00,2025-10-15 13:10:17,No orders,$0.00,N/A,2025-10-15T13:09:12.879775+00:00,Very Smart,daily trader
0x0ec49699229f8c4bacdb7ae8bc9fd2c0f7c9f4a4,13.56567273,0.8691588785,107,52400.04932,trade,Market 0x5a06550e...,$106.00,2025-10-15 13:10:17,14,0,20,$0.00,No positions,$0.00,Market 0x5a06550e...,$106.00,2025-10-15 13:10:17,No orders,$0.00,N/A,2025-10-15T13:14:36.559493+00:00,Very Smart,daily trader
0x0ec49699229f8c4bacdb7ae8bc9fd2c0f7c9f4a4,13.56567273,0.8691588785,107,52400.04932,trade,Market 0x5a06550e...,$106.00,2025-10-15 13:10:17,14,0,20,$0.00,No positions,$0.00,Market 0x5a06550e...,$106.00,2025-10-15 13:10:17,No orders,$0.00,N/A,2025-10-15T13:18:58.605206+00:00,Very Smart,daily trader
0x368bdf423a14d1b1a4393d3b46055c0ffb6e3edd,16.81850808,0.5652173913,46,12884.9,trade,Market 0x5a9b60ce...,$140.00,2025-10-15 12:02:35,20,0,20,$0.00,No positions,$0.00,Market 0x5a9b60ce...,$140.00,2025-10-15 12:02:35,No orders,$0.00,N/A,2025-10-15T13:18:09.493196+00:00,Very Smart,daily trader
